"oid","arm_itemid","arm_bodyparts","arm_puncture","arm_stroke","arm_thrust","arm_magicdisturbance","arm_absorb","arm_stiffness","arm_type"
"146714","0","0","0","0","0","0","0","0","0"
"146802","34","64","5","5","5","4","0","0","0"
"146758","55","16","0","0","0","6","0","0","0"
"146756","62","2","0","0","0","15","0","0","5"
"146761","67","2","0","0","0","6","0","0","5"
"146757","71","2","0","0","0","12","0","0","5"
"146762","79","2","0","0","0","3","0","0","5"
"146760","82","2","0","0","0","9","0","0","5"
"146755","83","2","0","0","0","18","0","0","5"
"146720","180","4","5","5","5","5","0","0","0"
"146721","181","4","5","5","5","7","0","0","0"
"146722","182","4","5","5","5","4","0","0","0"
"146803","183","64","5","5","5","3","0","0","0"
"146759","193","16","0","0","0","17","0","0","0"
"146778","194","16","0","0","0","7","0","0","0"
"146779","195","16","0","0","0","14","0","0","0"
"146780","196","16","0","0","0","3","0","0","0"
"146730","804","4","5","5","5","8","0","0","0"
"146731","805","4","5","5","5","8","0","0","0"
"146732","806","4","5","5","5","2","0","0","0"
"146733","807","4","5","5","5","7","0","0","0"
"146734","808","4","5","5","5","6","0","0","0"
"146735","809","4","5","5","5","1","0","0","0"
"146736","810","4","5","5","5","3","0","0","0"
"146737","811","4","5","5","5","5","0","0","0"
"146738","812","4","5","5","5","4","0","0","0"
"146739","813","4","5","5","5","2","0","0","0"
"146690","814","4","5","5","5","7","0","0","0"
"146691","815","4","5","5","5","6","0","0","0"
"146692","816","4","5","5","5","1","0","0","0"
"146693","817","4","5","5","5","3","0","0","0"
"146694","818","4","5","5","5","5","0","0","0"
"146695","819","4","5","5","5","4","0","0","0"
"146702","820","4","5","5","5","2","0","0","0"
"146807","821","64","5","5","5","10","0","0","0"
"146808","822","64","5","5","5","8","0","0","0"
"146809","823","64","5","5","5","1","0","0","0"
"146810","824","64","5","5","5","3","0","0","0"
"146811","825","64","5","5","5","6","0","0","0"
"146812","826","64","5","5","5","4","0","0","0"
"146813","827","64","5","5","5","2","0","0","0"
"146685","828","1","5","5","5","6","0","0","0"
"146686","829","1","5","5","5","5","0","0","0"
"146687","830","1","5","5","5","1","0","0","0"
"146688","831","1","5","5","5","3","0","0","0"
"146689","832","1","5","5","5","4","0","0","0"
"146740","833","4","5","5","5","9","0","0","0"
"146741","834","4","5","5","5","9","0","0","0"
"146742","835","4","5","5","5","9","0","0","0"
"146743","836","4","5","5","5","9","0","0","0"
"146744","837","4","5","5","5","9","0","0","0"
"146745","838","4","5","5","5","9","0","0","0"
"146696","839","64","5","5","5","10","0","0","0"
"146697","840","64","5","5","5","9","0","0","0"
"146698","841","64","5","5","5","1","0","0","0"
"146699","842","64","5","5","5","3","0","0","0"
"146700","843","64","5","5","5","7","0","0","0"
"146701","844","64","5","5","5","5","0","0","0"
"146746","845","4","5","5","5","10","0","0","0"
"146747","846","4","5","5","5","10","0","0","0"
"146748","847","4","5","5","5","10","0","0","0"
"146749","848","4","5","5","5","10","0","0","0"
"146750","849","4","5","5","5","10","0","0","0"
"146751","850","4","5","5","5","10","0","0","0"
"146752","851","4","5","5","5","10","0","0","0"
"146753","852","4","5","5","5","10","0","0","0"
"146711","1055","128","51","38","25","0","0","0","4"
"146712","1056","128","19","37","28","0","0","0","3"
"146719","1058","128","23","46","35","0","0","0","3"
"146703","1095","4","19","37","28","0","0","0","3"
"4281756","1442","4","42","31","21","0","0","0","4"
"4281786","1443","4","37","28","19","0","0","0","4"
"4281788","1444","4","46","35","23","0","0","0","4"
"4281787","1445","4","55","41","28","0","0","0","4"
"4281757","1446","4","73","55","37","0","0","0","4"
"4281771","1447","8","5","5","5","1","0","0","0"
"4281770","1448","8","5","5","5","2","0","0","0"
"4281768","1449","8","5","5","5","2","0","0","0"
"4281772","1450","8","5","5","5","3","0","0","0"
"4281773","1451","8","5","5","5","4","0","0","0"
"4281769","1452","8","5","5","5","5","0","0","0"
"4281708","1453","8","8","5","10","0","0","0","2"
"4281707","1454","8","28","19","37","0","0","0","2"
"4281789","1455","8","41","28","55","0","0","0","2"
"4281791","1456","8","48","32","64","0","0","0","2"
"4281790","1457","8","55","37","73","0","0","0","2"
"4281727","1458","8","68","46","91","0","0","0","2"
"4281792","1459","8","75","50","100","0","0","0","2"
"4281731","1460","8","5","10","8","0","0","0","3"
"4281732","1461","8","10","19","14","0","0","0","3"
"4281730","1462","8","14","28","21","0","0","0","3"
"4281795","1463","8","19","37","28","0","0","0","3"
"4281797","1464","8","23","46","35","0","0","0","3"
"4281796","1465","8","32","64","48","0","0","0","3"
"4281729","1466","8","37","73","55","0","0","0","3"
"4281728","1467","8","41","82","62","0","0","0","3"
"4281794","1468","8","46","91","68","0","0","0","3"
"4281793","1469","8","50","100","75","0","0","0","3"
"4281715","1470","8","10","8","5","0","0","0","4"
"4281714","1471","8","28","21","14","0","0","0","4"
"4281780","1472","8","37","28","19","0","0","0","4"
"4281765","1491","64","50","100","75","0","0","0","3"
"4281748","1492","64","10","8","5","0","0","0","4"
"4281747","1493","64","28","21","14","0","0","0","4"
"4281746","1494","64","37","28","19","0","0","0","4"
"4281745","1495","64","55","41","28","0","0","0","4"
"4379353","1496","64","64","48","32","0","0","0","4"
"4281750","1497","64","82","62","41","0","0","0","4"
"4281749","1498","64","91","68","46","0","0","0","4"
"4281767","1499","64","100","75","50","0","0","0","4"
"4281725","1500","128","8","5","10","0","0","0","2"
"4281726","1501","128","21","14","28","0","0","0","2"
"4281709","1502","128","28","19","37","0","0","0","2"
"4281710","1503","128","41","28","55","0","0","0","2"
"4281734","1504","128","48","32","64","0","0","0","2"
"146710","1054","128","32","64","48","0","0","0","3"
"146713","1057","128","14","28","21","0","0","0","3"
"146900","4","4","10","8","5","0","0","0","4"
"146839","7","1","21","14","28","0","0","0","2"
"146868","16","1","10","19","14","0","0","0","3"
"146848","48","8","21","14","28","0","0","0","2"
"146846","53","128","35","23","46","0","0","0","2"
"146830","68","32","0","0","0","6","0","0","5"
"146889","94","1","55","41","28","0","0","0","4"
"146876","101","4","5","10","8","0","0","0","3"
"146879","184","1","91","68","46","0","0","0","4"
"146877","185","1","100","75","50","0","0","0","4"
"146896","187","1","28","21","14","0","0","0","4"
"146899","202","1","10","8","5","0","0","0","4"
"146832","235","32","0","0","0","0","0","0","5"
"146831","277","32","0","0","0","3","0","0","5"
"146829","278","32","0","0","0","9","0","0","5"
"146828","279","32","0","0","0","12","0","0","5"
"146825","280","32","0","0","0","21","0","0","5"
"146827","281","32","0","0","0","15","0","0","5"
"146826","282","32","0","0","0","18","0","0","5"
"146875","324","1","5","10","8","0","0","0","3"
"146894","325","8","19","14","10","0","0","0","4"
"146895","326","128","28","21","14","0","0","0","4"
"146854","356","1","8","5","10","0","0","0","2"
"146837","362","4","68","46","91","0","0","0","2"
"146851","363","4","14","10","19","0","0","0","2"
