"oid","itm_id","itm_volume","itm_weight","itm_agingspeed","itm_objectafterrot","itm_script","itm_rotsininventory","itm_brightness","itm_worth","itm_buystack","itm_maxstack","itm_name_german","itm_name_english","itm_description_german","itm_description_english","itm_rareness","itm_name","itm_level"
"147195","3","1","100","4","3","item.woodlogs","f","0","100","1","1000","Nadelholz","conifer wood","","","1","coniferWood","0"
"147178","100","1","50","4","100","gm.items.id_100_trowel","f","0","0","1","1","Kelle","trowel","","","1","\N","0"
"147230","7","1","150","4","7","item.general.metal","f","0","1200","1","1","Hörnerhelm","horned helmet","","","1","hornedHelmet","20"
"147340","16","1","150","4","7","item.general.metal","f","0","1000","1","1","Orkhelm","orc helmet","","","1","orcHelmet","10"
"147181","129","1","100","7","129","item.books","f","0","0","1","1","Alchemie III","Alchemy III","","","1","\N","0"
"147182","131","1","100","7","131","item.books","f","0","0","1","1","Buch der Alchemie","Book Of Alchemy","","","1","\N","0"
"147382","20","1","150","4","20","item.general.metal","f","0","14700","1","1","Ritterschild","knight shield","","","1","knightShield","50"
"147332","26","1","100","4","26","\N","f","0","100","1","1000","Lehm","clay","","","1","clay","0"
"147185","212","1","30000","255","212","item.general.wood","f","0","0","1","1","Stuhl","chair","","","1","\N","0"
"147186","213","1","30000","255","213","item.general.wood","f","0","0","1","1","Stuhl","chair","","","1","\N","0"
"147187","220","1","30000","255","220","item.id_220_barrel","f","0","0","1","1","Fass","barrel","","","1","\N","0"
"147344","27","1","50","4","27","item.general.metal","f","0","2500","1","1","einfacher Dolch","simple dagger","","","1","simpleDagger","0"
"147189","266","5000","30000","255","266","item.id_266_bookshelf","f","0","0","1","1","Bücherregal","bookshelf","","","1","\N","0"
"147347","34","1","100","4","34","item.general.cloth","f","0","2200","1","1","kurze schwarze Hose","short black trousers","","","1","shortBlackTrousers","30"
"147191","298","1","30000","4","298","item.id_298_woodstack","f","0","0","1","1","Lagerfeuer","campfire","","","1","\N","0"
"147192","300","5000","30000","255","300","item.harvest","f","0","0","1","1","Kirschbaum","cherry tree","","","1","\N","0"
"4281611","1465","1","130","4","1465","item.general.metal","f","0","7700","1","1","vergoldete Kettenhandschuhe","gilded chain gloves","","","1","gildedChainGloves","60"
"147194","377","1","30000","15","375","item.traps","f","0","0","1","1","getarnte Falle","hidden trap","","","1","\N","0"
"148735","2952","1","50","4","2952","\N","f","0","200","1","1000","Holzteller","wooden plate","","","1","woodenPlate","5"
"147803","638","1","30000","255","639","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147804","639","1","30000","255","639","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
